,Product,Avg Purchase Frequency,Minimum Duration,Recommended Duration 1,Recommended Duration 2,Recommended Duration 3
0,2-in-1 Conditioner (16 oz),162.4239417989418,30,96.2119708994709,75.90897817460318,55.60598544973545
1,Hair Mask (8oz),268.170171957672,29,148.585085978836,115.063814484127,81.542542989418
2,Yellow Shampoo & Conditioner (8oz Set),306.95489417989415,35,170.97744708994708,132.6080853174603,94.23872354497354
3,Yellow Styling Cream (4oz),425.04793169793163,30,227.52396584896582,174.39297438672435,121.26198292448291
4,Yellow Conditioner (16oz),571.0406565656565,44,307.52032828282825,236.14024621212118,164.76016414141412
5,Yellow Shampoo  (16oz),798.2720057720057,36,417.13600288600287,317.35200216450215,217.56800144300144
6,Blue Shampoo and Conditioner,882.0826539201538,29,455.5413269600769,345.28099522005766,235.02066348003845
7,Yellow Shampoo and Conditioner (16oz Set),1033.857762145262,41,537.428881072631,408.19666080447325,278.9644405363155
8,Eye Cream,1033.857762145262,10000,5516.928881072631,5387.696660804473,5258.464440536315
9,Facial (5oz),1047.2049843674843,31,539.1024921837421,408.2018691378066,277.30124609187106
10,Moisturizer (1.7oz),1084.945725108225,31,557.9728625541125,422.35464691558434,286.7364312770562
11,Hair Treatment(6oz),1087.3187409812408,36,561.6593704906204,425.7445278679653,289.8296852453102
12,Red Shampoo and Body Wash (8oz),1088.6937409812408,31,559.8468704906204,423.7601528679653,287.6734352453102
13,Face Mask & Polishing Scrub (4oz),1091.2159632034632,38,564.6079816017316,428.2059862012987,291.8039908008658
14,Good Luck Serum (2oz),1105.5826298701297,38,571.7913149350649,433.5934862012987,295.39565746753243
15,Eye Cream (1oz),1112.2096139971138,31,571.6048069985569,432.5786052489177,293.55240349927846
