,Product,Avg Purchase Frequency
0,2-in-1 Conditioner (16 oz),164.1444099378882
1,Hair Mask (8oz),303.7472912353347
2,Yellow Shampoo & Conditioner (8oz Set),437.11866804692886
3,Yellow Styling Cream (4oz),543.3361754187841
4,Yellow Conditioner (16oz),733.3173693456301
5,Yellow Shampoo  (16oz),993.8849676893155
6,Blue Shampoo and Conditioner,1114.6375039211996
7,Yellow Shampoo and Conditioner (16oz Set),1434.0426046176044
8,Eye Cream,1440.6513002697784
9,Facial (5oz),1464.9979186272662
10,Moisturizer (1.7oz),1548.618691574126
11,Hair Treatment(6oz),1551.3681739757822
12,Red Shampoo and Body Wash (8oz),1563.2341160047677
13,Face Mask & Polishing Scrub (4oz),1571.0925701110477
14,Good Luck Serum (2oz),1596.5408792897917
15,Eye Cream (1oz),1619.532942781855
