"date","customer","id","product","price"
"2016-01-28",2299561665,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-01-28",2299561665,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2017-08-14",2299561665,37162194829,"Hair Mask (8oz)",29.97
"2017-08-14",2299561665,20800705665,"$10 Gift Card (Email Delivery)",10
"2016-07-18",2380201793,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-10-31",2380201793,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-02-11",2381148801,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-02-15",2412803585,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-07-11",2412803585,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-02-16",2418392577,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-07-11",2449572545,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2017-11-25",2449572545,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2018-07-16",2449572545,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-02-22",2454289601,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-02-23",2461102849,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-02-23",2461102849,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-02-23",2461933249,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-02-24",2463923265,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-02-24",2466957761,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-06-18",2466957761,17012202561,"Yellow Styling Cream (4oz)",19.47
"2016-06-18",2466957761,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-08-15",2496880193,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-03-02",2499789057,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-03-07",2524574081,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-03-08",2529655297,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-04-28",2568797377,17012202561,"Yellow Styling Cream (4oz)",19.47
"2016-03-19",2591669569,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-07-11",2592757697,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2016-11-25",2592757697,11225214721,"2-in-1 Conditioner (16 oz)",29.97
"2017-06-29",2592757697,29897667725,"Yellow Conditioner (16oz)",29.91
"2017-06-29",2592757697,29897659469,"Yellow Shampoo  (16oz)",28.64
"2016-03-24",2618265217,10976671681,"Yellow Shampoo & Conditioner (8oz Set)",35.97
"2016-03-26",2628001025,11225214721,"2-in-1 Conditioner (16 oz)",29.97
